panelist,week_number,treatment_group,cohort_period,prop_expenditure_vegetables
114,19,1,45,7.16293851607383
114,20,1,45,6.17191028149932
114,21,1,45,2.01279450772351
114,22,1,45,4.8483341621084
114,23,1,45,2.71745061661028
114,24,1,45,2.44407622203811
114,25,1,45,0
114,26,1,45,4.22988043805888
114,27,1,45,9.03415350716122
114,28,1,45,5.43748274910295
114,29,1,45,1.32907133243607
114,30,1,45,7.84270162186181
114,31,1,45,2.17414936406131
114,32,1,45,7.63416477702192
114,33,1,45,4.60871848739496
114,34,1,45,2.74478754288731
114,35,1,45,8.57827476038339
114,36,1,45,6.96553386358159
114,37,1,45,4.60871848739496
114,38,1,45,2.74478754288731
114,39,1,45,6.14231371671515
114,40,1,45,4.85447803123947
114,42,1,45,9.16152615946996
114,43,1,45,5.23713193976175
114,44,1,45,4.06928019368656
114,45,1,45,13.312274368231
114,46,1,45,0.604838709677419
114,47,1,45,11.5463564830653
114,48,1,45,7.67849744510427
114,49,1,45,9.81498491011678
114,50,1,45,1.45313958138915
114,51,1,45,3.07098020280058
114,52,1,45,6.63433987216222
115,1,0,0,5.13084689882547
115,2,0,0,13.0934667929122
115,3,0,0,11.8991161888338
115,4,0,0,20.253164556962
115,5,0,0,14.4229669449846
115,6,0,0,5.84498094027954
115,7,0,0,3.97862232779097
115,8,0,0,10.8963426189123
115,9,0,0,5.77749140893471
115,10,0,0,8.77111240535818
115,11,0,0,0
115,12,0,0,17.1349862258953
115,13,0,0,4.17104132862461
115,14,0,0,12.8653113087675
115,15,0,0,1.55976165439888
115,16,0,0,0
115,17,0,0,15.8351848111493
115,18,0,0,6.66666666666667
115,19,0,0,11.6757664846703
115,20,0,0,8.42754367934224
115,21,0,0,5.38257301472363
115,22,0,0,11.4408361328854
115,23,0,0,4.82209737827715
115,24,0,0,3.08993612981184
115,25,0,0,5.38257301472363
115,26,0,0,11.4408361328854
115,27,0,0,3.2067094227923
115,28,0,0,9.68970380818054
115,29,0,0,12.5816431763493
115,30,0,0,6.30670831474044
115,31,0,0,5.51755585955312
115,32,0,0,0
115,33,0,0,12.7543330821402
115,34,0,0,4.66901585703499
115,35,0,0,15.4266498528794
115,36,0,0,15.4266498528794
115,37,0,0,17.2220069740411
115,38,0,0,6.1321690811669
115,39,0,0,5.54770318021201
115,40,0,0,19.4392523364486
115,41,0,0,3.28605200945627
115,42,0,0,4.66901585703499
115,43,0,0,2.05623164078892
115,44,0,0,19.4392523364486
115,45,0,0,3.28605200945627
115,46,0,0,4.49310930715499
115,47,0,0,9.22509225092251
115,48,0,0,0
115,49,0,0,5.21916411824669
115,50,0,0,8.13606067570673
115,51,0,0,12.8178811723116
115,52,0,0,6.14432007620862
116,2,0,0,9.75152367557431
116,3,0,0,10.027514521553
116,4,0,0,3.1545988258317
116,5,0,0,3.1545988258317
116,6,0,0,11.5942028985507
116,7,0,0,9.05058738911532
116,8,0,0,8.80503144654088
116,9,0,0,8.97252432741843
116,10,0,0,19.5819581958196
116,11,0,0,8.97252432741843
116,12,0,0,3.76855728968405
116,13,0,0,14.8108108108108
116,14,0,0,21.3318284424379
116,15,0,0,0
116,16,0,0,18.6162415713867
116,17,0,0,3.76855728968405
116,18,0,0,10.4117131773245
116,19,0,0,22.3511214230472
116,20,0,0,16.7065629363654
116,21,0,0,21.3318284424379
116,22,0,0,4.01920180722892
116,23,0,0,5.12953367875648
116,24,0,0,2.36912890544176
116,25,0,0,21.0685483870968
116,26,0,0,4.01920180722892
116,27,0,0,5.12953367875648
116,28,0,0,10.1198402130493
116,29,0,0,9.66620305980529
116,30,0,0,17.6964607078584
116,31,0,0,7.85920369301789
116,32,0,0,20.2852908484624
116,33,0,0,19.4677871148459
116,34,0,0,19.4677871148459
116,35,0,0,6.31176283073
116,36,0,0,0
116,37,0,0,7.99126637554585
116,38,0,0,0
116,39,0,0,11.9695321001088
116,40,0,0,6.31176283073
116,41,0,0,7.11736073553272
116,42,0,0,5.57092787308615
116,43,0,0,8.14911140008669
116,44,0,0,6.73640167364017
116,45,0,0,12.3567126481446
116,46,0,0,6.73640167364017
116,47,0,0,1.37475941710201
116,48,0,0,13.411665078861
116,49,0,0,12.4032586558045
116,50,0,0,9.95670995670996
116,51,0,0,13.443727196183
116,52,0,0,12.3567126481446
116,53,0,0,12.2616152566236
118,3,0,0,0
118,4,0,0,29.6666666666667
118,5,0,0,11.1780821917808
118,7,0,0,31.5845824411135
118,8,0,0,13.3696309739867
118,9,0,0,44.1558441558442
118,10,0,0,16.7880679847381
118,11,0,0,7.94803209782193
118,12,0,0,19.3164933135215
118,13,0,0,8.89603429796356
118,14,0,0,28.2428702851886
118,15,0,0,0
118,16,0,0,37.5949367088608
118,17,0,0,12.9639309984318
118,18,0,0,41.5371329879102
118,19,0,0,23.4458259325044
118,20,0,0,14.7078576225655
118,21,0,0,27.318156579678
118,22,0,0,14.0693503387804
118,23,0,0,30.3336703741153
118,24,0,0,47.9606188466948
118,25,0,0,5.34557235421166
118,26,0,0,0
118,27,0,0,84.6153846153846
118,28,0,0,7.77027027027027
118,29,0,0,16.7577413479053
118,30,0,0,0.574398249452954
118,31,0,0,0
118,32,0,0,9.34844192634561
118,33,0,0,30.8074534161491
118,34,0,0,15.6955380577428
118,35,0,0,29.6482412060302
118,36,0,0,2.67175572519084
118,38,0,0,35.4647330257086
118,39,0,0,0
118,40,0,0,19.2546583850932
118,41,0,0,0
118,42,0,0,11.4384748700173
118,43,0,0,2.59391771019678
118,44,0,0,2.76679841897233
118,45,0,0,55.026455026455
118,46,0,0,0
118,47,0,0,4.28571428571429
118,48,0,0,9.43060498220641
118,49,0,0,10.3571428571429
118,50,0,0,45.0729927007299
118,51,0,0,29.1606367583213
118,52,0,0,38.7914230019493
118,53,0,0,22.3350253807107
119,1,0,0,10.1834341906203
119,2,0,0,44.4134078212291
119,4,0,0,12.436509158073
119,5,0,0,0
119,6,0,0,0
119,8,0,0,4.10947236929891
119,9,0,0,4.74281897127589
119,10,0,0,0
119,11,0,0,16.0420775805391
119,13,0,0,9.9106644332775
119,14,0,0,0
119,16,0,0,11.7255255671963
119,19,0,0,12.2396940076498
119,20,0,0,2.04557224236147
119,21,0,0,0
119,22,0,0,21.7705168135051
119,23,0,0,13.2555074373941
119,25,0,0,0
119,26,0,0,0
119,27,0,0,0
119,28,0,0,21.9575856443719
119,29,0,0,0
119,30,0,0,57.1428571428571
119,31,0,0,11.898363058881
119,32,0,0,57.1428571428571
119,33,0,0,21.9575856443719
119,34,0,0,11.898363058881
119,35,0,0,8.59796285200719
119,37,0,0,11.5953829862613
119,39,0,0,6.23517451711284
119,41,0,0,2.80032467532468
119,43,0,0,8.37012862353619
119,44,0,0,3.96923076923077
